Date,Open,High,Low,Close,Adj Close,Volume
2008-10-15,2.192500,2.273100,2.173700,2.250800,2.250800,0
2008-10-16,2.250500,2.259600,2.172600,2.199300,2.199300,0
2008-10-17,2.199700,2.208500,2.165600,2.182100,2.182100,0
2008-10-20,2.202200,2.203700,2.127700,2.144500,2.144500,0
2008-10-21,2.143600,2.167600,2.129800,2.142700,2.142700,0
2008-10-22,2.144100,2.196800,2.130300,2.169300,2.169300,0
2008-10-23,2.172400,2.215600,2.136000,2.175200,2.175200,0
2008-10-24,2.173700,2.298600,2.164800,2.268100,2.268100,0
2008-10-27,2.257100,2.323400,2.245500,2.277700,2.277700,0
2008-10-28,2.277200,2.281700,2.214500,2.219800,2.219800,0
2008-10-29,2.221400,2.234700,2.181900,2.223200,2.223200,0
2008-10-30,2.223100,2.237200,2.177800,2.186800,2.186800,0
2008-10-31,2.186200,2.202500,2.168300,2.184400,2.184400,0
2008-11-03,2.173900,2.190800,2.120200,2.133500,2.133500,0
2008-11-04,2.134000,2.154100,2.106500,2.137600,2.137600,0
2008-11-05,2.140900,2.175200,2.121900,2.156400,2.156400,0
2008-11-06,2.155800,2.174500,2.128900,2.170200,2.170200,0
2008-11-07,2.170700,2.182500,2.140400,2.149500,2.149500,0
2008-11-10,2.144700,2.204800,2.136200,2.187300,2.187300,0
2008-11-11,2.187100,2.203000,2.161400,2.189100,2.189100,0
2008-11-12,2.189600,2.245500,2.170300,2.233900,2.233900,0
2008-11-13,2.234800,2.261100,2.215700,2.240100,2.240100,0
2008-11-14,2.239300,2.289100,2.235400,2.275600,2.275600,0
2008-11-17,2.281100,2.300400,2.253500,2.291700,2.291700,0
2008-11-18,2.292500,2.302600,2.279500,2.286300,2.286300,0
2008-11-19,2.286600,2.313000,2.281100,2.307200,2.307200,0
2008-11-20,2.304100,2.402300,2.302400,2.383600,2.383600,0
2008-11-21,2.385900,2.395300,2.337400,2.341000,2.341000,0
2008-11-24,2.349100,2.381800,2.345000,2.359100,2.359100,0
2008-11-25,2.357300,2.403700,2.338400,2.384200,2.384200,0
2008-11-26,2.384700,2.388900,2.325100,2.329700,2.329700,0
2008-11-27,2.332500,2.355900,2.318300,2.339100,2.339100,0
2008-11-28,2.335900,2.342000,2.305200,2.310900,2.310900,0
2008-12-01,2.325200,2.394700,2.319700,2.392100,2.392100,0
2008-12-02,2.391100,2.402400,2.365800,2.385200,2.385200,0
2008-12-03,2.385200,2.404100,2.370200,2.382400,2.382400,0
2008-12-04,2.382600,2.415100,2.349300,2.396600,2.396600,0
2008-12-05,2.396700,2.430700,2.369700,2.376400,2.376400,0
2008-12-08,2.381100,2.400000,2.355800,2.368100,2.368100,0
2008-12-09,2.368900,2.397900,2.367400,2.387000,2.387000,0
2008-12-10,2.386300,2.407600,2.357500,2.387500,2.387500,0
2008-12-11,2.387600,2.425100,2.382100,2.417000,2.417000,0
2008-12-12,2.416800,2.458200,2.407000,2.436700,2.436700,0
2008-12-15,2.445500,2.479200,2.430700,2.468300,2.468300,0
2008-12-16,2.468100,2.472200,2.419800,2.429500,2.429500,0
2008-12-17,2.430700,2.444800,2.404100,2.425700,2.425700,0
2008-12-18,2.430400,2.456400,2.391400,2.436700,2.436700,0
2008-12-19,2.436800,2.465000,2.405000,2.419400,2.419400,0
2008-12-22,2.423300,2.442100,2.409700,2.429400,2.429400,0
2008-12-23,2.430600,2.464500,2.429900,2.452700,2.452700,0
2008-12-24,2.451900,2.462100,2.419900,2.430200,2.430200,0
2008-12-25,2.429900,2.450900,2.426100,2.440000,2.440000,0
2008-12-26,2.440400,2.449200,2.413400,2.430500,2.430500,0
2008-12-29,2.445000,2.460900,2.412000,2.425000,2.425000,0
2008-12-30,2.424900,2.458700,2.413600,2.445300,2.445300,0
2008-12-31,2.444200,2.450300,2.368100,2.405700,2.405700,0
2009-01-01,2.405700,2.415400,2.385700,2.401200,2.401200,0
2009-01-02,2.401700,2.416100,2.359100,2.372500,2.372500,0
2009-01-05,2.361700,2.382700,2.301000,2.315400,2.315400,0
2009-01-06,2.315200,2.319200,2.251100,2.262900,2.262900,0
2009-01-07,2.262800,2.312200,2.249800,2.311700,2.311700,0
2009-01-08,2.311400,2.333300,2.294600,2.303200,2.303200,0
2009-01-09,2.302600,2.320200,2.261400,2.275100,2.275100,0
2009-01-12,2.281500,2.334200,2.275500,2.335500,2.335500,0
2009-01-13,2.335400,2.405400,2.330200,2.389100,2.389100,0
2009-01-14,2.388200,2.439900,2.377300,2.430500,2.430500,0
2009-01-15,2.430300,2.475800,2.419400,2.429800,2.429800,0
2009-01-16,2.430000,2.453000,2.407700,2.421900,2.421900,0
2009-01-19,2.419300,2.441300,2.406400,2.435800,2.435800,0
2009-01-20,2.436200,2.487700,2.423700,2.480400,2.480400,0
2009-01-21,2.480500,2.489800,2.435900,2.452900,2.452900,0
